2016 Championships  2
History  5
All-Time Team Results  8
DIVISION I WOMEN’S 
CROSS COUNTRY 
CHAMPIONSHIPS 
RECORDS BOOK2016 Championships  3 
 2016 INDIVIDUAL 
RESULTS
171 Adelsberger, Teylar, Missouri,  21:10.8
172 Kennedy, Isabelle , Boston College,   21:10.9
173 Haiss, Therese, Arkansas,  21:11.9
174 Pelletier, Lexi, Notre Dame,  21:12.6
175 Bradley, Lindsey, Baylor,  21:13.8
176 Pendergast, Judy, Harvard,  21:14.0
177 Munks, Kathryn, Penn State,  21:15.2
178 Hetherington, Abbie, Oklahoma State, 21:16.2
179 Klein, Dana, Yale,                  21:16.7
180 Harris, Jessica, Notre Dame,  21:17.3
181 Poe, Jeralyn, Michigan State,  21:17.4
182 Bockoven, Sammy, Villanova,  21:18.1
183 Heinemann, Sarah, Wisconsin,  21:18.8
184 England, Mary Alex, Mississippi,  21:19.2
185 McNulty, Abbie, Stanford,  21:20.8
